"","def_w1","def_w2","econ_w1","econ_w2","soc_w1","soc_w2","EG1_BINDING_SHORT","EG2_BINDING_SHORT","authority1","authority2","loyalty1","loyalty2","purity1","purity2","EG1_IND_SHORT","EG2_IND_SHORT","fairness1","fairness2","harm1","harm2","AGE","Q50","sex_num","Q17_02","Q17_06","Q17_09","Q17_15","Q17_18","Q17_23","Q17_24","Q17_04","Q17_21","Q17_26","Q17_12","Q17_28","Q17_30","RETEST_Q17_02","RETEST_Q17_06","RETEST_Q17_09","RETEST_Q17_15","RETEST_Q17_18","RETEST_Q17_23","RETEST_Q17_24","RETEST_Q17_04","RETEST_Q17_21","RETEST_Q17_26","RETEST_Q17_12","RETEST_Q17_28","RETEST_Q17_30"
"1630",2.33333333333333,2.33333333333333,1.2,1.4,1.57142857142857,1.28571428571429,3.5,2.83333333333333,4,3,4,2.5,2.5,3,2.75,3.25,3.5,3,2,3.5,28,2,0,1,3,1,2,1,1,2,1,2,1,2,3,2,1,3,1,1,1,1,1,2,1,1,2,3,2
"1631",1.66666666666667,1.66666666666667,1,1,1.42857142857143,1,3,2.33333333333333,2.5,2,3,2,3.5,3,4.75,3.75,4.5,3.5,5,4,28,6,0,1,2,1,2,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1
"1632",1.66666666666667,NA,1.4,NA,2,NA,2.66666666666667,NA,3.5,NA,2,NA,2.5,NA,2.25,NA,2.5,NA,2,NA,28,5,1,3,3,2,2,1,1,2,1,2,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1633",1.66666666666667,1.66666666666667,1.6,1.8,1.14285714285714,1.28571428571429,2.83333333333333,3.16666666666667,3.5,2.5,3,3.5,2,3.5,4,4,4,4,4,4,29,3,1,1,2,1,1,1,1,1,1,3,1,1,2,2,1,1,3,1,1,1,1,1,3,1,1,3,1
"1634",1.66666666666667,1.66666666666667,1.4,1,1.28571428571429,1.57142857142857,4.66666666666667,3.5,4.5,3,4.5,3.5,5,4,5,4,5,4,5,4,29,5,0,1,3,1,1,1,1,1,3,1,1,1,3,1,3,3,1,1,1,1,1,1,1,1,1,3,1
"1635",1,NA,1.6,NA,2,NA,4.33333333333333,NA,4,NA,4,NA,5,NA,5,NA,5,NA,5,NA,29,5,1,3,2,1,2,1,2,3,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1636",1,NA,1,NA,1.57142857142857,NA,4.66666666666667,NA,5,NA,4.5,NA,4.5,NA,5,NA,5,NA,5,NA,29,2,0,3,2,1,1,1,1,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1637",2.33333333333333,1.33333333333333,1.2,1,1.28571428571429,1.14285714285714,2.83333333333333,2.5,3.5,2,2,2.5,3,3,3.5,3.75,3,3.5,4,4,27,2,1,1,3,1,1,1,1,1,1,2,1,2,3,2,1,2,1,1,1,1,1,1,1,1,1,2,1
"1638",2.33333333333333,2,1,1.8,1.42857142857143,1.42857142857143,3,2.66666666666667,3,2.5,3,3,3,2.5,4,2.75,3,3,5,2.5,27,5,0,2,3,1,1,1,1,1,1,1,1,2,3,2,2,2,1,1,1,2,1,2,1,2,2,2,2
"1639",3,NA,1.4,NA,2,NA,3,NA,2,NA,4,NA,3,NA,4.5,NA,4,NA,5,NA,24,2,1,3,3,3,1,1,2,1,1,1,1,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1640",2.33333333333333,2.66666666666667,1,1,1.85714285714286,1.57142857142857,3.33333333333333,3.66666666666667,3,3,3,4,4,4,4,4,4,4,4,4,24,3,0,2,3,2,2,1,1,2,1,1,1,2,3,2,1,3,1,2,1,1,2,1,1,1,3,2,3
"1641",2.33333333333333,NA,1.4,NA,1,NA,2.16666666666667,NA,2,NA,3,NA,1.5,NA,3,NA,2.5,NA,3.5,NA,28,5,1,1,1,1,1,1,1,1,1,3,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1642",2,NA,1.2,NA,1.57142857142857,NA,2.66666666666667,NA,3,NA,2,NA,3,NA,4,NA,4,NA,4,NA,28,5,0,3,3,1,1,1,1,1,1,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1643",1.66666666666667,2,1,1.8,1.57142857142857,2.14285714285714,1,3,1,3,1,3,1,3,1,3,1,3,1,3,26,3,1,1,3,1,1,1,1,3,1,1,1,1,3,1,2,2,2,2,3,2,2,2,2,2,2,2,2
"1644",1.66666666666667,1.66666666666667,1,1.2,2,1.71428571428571,4.66666666666667,3.16666666666667,4.5,3,5,4,4.5,2.5,4.5,3,5,2.5,4,3.5,26,2,0,3,3,1,2,1,1,3,1,1,1,1,3,1,1,3,1,1,1,2,3,1,2,1,1,3,1
"1645",2.33333333333333,2.33333333333333,1.4,1.2,1.57142857142857,1.14285714285714,3.5,3.16666666666667,4,3.5,4,2.5,2.5,3.5,3.5,3,3,3,4,3,30,2,0,3,2,1,1,1,2,1,1,1,1,2,3,2,1,2,1,1,1,1,1,1,1,1,2,3,2
"1646",2.33333333333333,2.33333333333333,1.2,1,1.71428571428571,1.28571428571429,3.83333333333333,3.33333333333333,4,3,4,3.5,3.5,3.5,3.5,3.75,3.5,3.5,3.5,4,30,3,1,1,3,3,1,2,1,1,1,1,1,1,3,3,1,3,1,1,1,1,1,1,1,1,1,3,3
"1647",NA,1.66666666666667,NA,1.2,NA,1.57142857142857,NA,2.5,NA,2,NA,2.5,NA,3,NA,4.25,NA,5,NA,3.5,25,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,1,1,1,2,1,2,1,1,3,1
"1648",1.66666666666667,1.66666666666667,2.4,2,2.85714285714286,2.14285714285714,3.66666666666667,1.33333333333333,3.5,2,4,0,3.5,2,3.25,0,3.5,0,3,0,27,3,1,3,3,3,2,3,3,3,3,3,2,2,2,1,3,3,2,3,2,1,1,2,3,2,1,2,2
"1649",2,1.66666666666667,1,1,1.85714285714286,2.57142857142857,2,3,2,3,2,3,2,3,3,3.5,2,3.5,4,3.5,27,2,0,2,3,3,1,1,2,1,1,1,1,2,2,2,3,3,3,3,1,2,3,1,1,1,1,3,1
"1650",NA,1.66666666666667,NA,1,NA,1.42857142857143,NA,3.33333333333333,NA,3,NA,4,NA,3,NA,4,NA,4,NA,4,54,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,1,1,1,1,1,1,1,1,3,1
"1651",1.66666666666667,NA,1,NA,1.85714285714286,NA,3.5,NA,3.5,NA,3.5,NA,3.5,NA,4.25,NA,4,NA,4.5,NA,25,2,0,2,3,2,1,1,3,1,1,1,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1652",1.66666666666667,1,2.4,1.8,1.71428571428571,1.57142857142857,3,2.5,3.5,1.5,4,4,1.5,2,3.25,3.25,2.5,3.5,4,3,26,2,1,3,3,1,1,1,1,2,2,2,2,2,2,1,3,3,1,1,1,1,1,1,3,1,1,1,1
"1653",1.33333333333333,1.33333333333333,1.2,1,1.28571428571429,1.57142857142857,1.33333333333333,3,1.5,3.5,1.5,3.5,1,2,3.5,4,3,4.5,4,3.5,26,1,0,1,3,1,1,1,1,1,1,2,1,1,2,1,2,3,1,2,1,1,1,1,1,1,1,2,1
